,日期,累计确诊,疑似,死亡,治愈,现有确诊,现有重症,死亡率,治愈率
1,10.16.2020,125226,1,5695,117164,2372,1,4.5,93.6
2,10.17.2020,125254,1,5695,117194,2365,1,4.5,93.6
3,10.18.2020,125284,2,5695,117223,2366,1,4.5,93.6
4,10.19.2020,125322,2,5695,117266,2361,1,4.5,93.6
5,10.20.2020,125351,1,5695,117305,2351,0,4.5,93.6
6,10.21.2020,125402,1,5695,117325,2382,3,4.5,93.6
7,10.22.2020,125462,2,5695,117350,2417,7,4.5,93.5
8,10.23.2020,125518,2,5695,117382,2441,13,4.5,93.5
9,10.24.2020,125565,3,5695,117415,2455,20,4.5,93.5
10,10.25.2020,125620,4,5696,117432,2492,21,4.5,93.5
11,10.26.2020,125686,4,5696,117457,2533,27,4.5,93.5
12,10.27.2020,125738,4,5696,117484,2558,33,4.5,93.4
13,10.28.2020,125810,3,5696,117512,2602,38,4.5,93.4
14,10.29.2020,125898,3,5696,117528,2674,39,4.5,93.4
15,10.30.2020,125979,6,5696,117550,2733,33,4.5,93.3
16,10.31.2020,126078,5,5696,117587,2795,33,4.5,93.3
17,11.01.2020,126155,3,5696,117615,2844,35,4.5,93.2
18,11.02.2020,126270,3,5696,117638,2936,37,4.5,93.2
19,11.03.2020,126384,4,5696,117662,3026,36,4.5,93.1
20,11.04.2020,126471,4,5696,117692,3083,37,4.5,93.1
21,11.05.2020,126534,1,5696,117735,3103,31,4.5,93.0
22,11.06.2020,126616,3,5696,117782,3138,32,4.5,93.0
23,11.07.2020,126710,1,5696,117838,3176,28,4.5,93.0
24,11.08.2020,126775,1,5696,117880,3199,27,4.5,93.0
25,11.09.2020,126836,2,5697,117934,3205,21,4.5,93.0
26,11.10.2020,126908,2,5697,117972,3239,20,4.5,93.0
27,11.11.2020,127018,2,5697,118038,3283,20,4.5,92.9
28,11.12.2020,127104,3,5697,118119,3288,21,4.5,92.9
29,11.13.2020,127199,2,5697,118182,3320,19,4.5,92.9
30,11.14.2020,127260,4,5697,118240,3323,17,4.5,92.9
31,11.15.2020,127297,2,5697,118316,3284,20,4.5,92.9
32,11.16.2020,127331,4,5697,118392,3242,18,4.5,93.0
33,11.17.2020,127374,3,5697,118452,3225,16,4.5,93.0
34,11.18.2020,127405,2,5697,118508,3200,14,4.5,93.0
35,11.19.2020,127439,2,5697,118581,3161,12,4.5,93.0
36,11.20.2020,127463,3,5697,118660,3106,12,4.5,93.1
37,11.21.2020,127512,4,5697,118752,3063,11,4.5,93.1
38,11.22.2020,127537,3,5697,118820,3020,8,4.5,93.2
39,11.23.2020,127572,1,5697,118892,2983,7,4.5,93.2
40,11.24.2020,127602,2,5697,118962,2943,8,4.5,93.2
41,11.25.2020,127631,4,5697,119031,2903,8,4.5,93.3
42,11.26.2020,127672,2,5697,119110,2865,7,4.5,93.3
43,11.27.2020,127710,3,5697,119159,2854,7,4.5,93.3
44,11.28.2020,127764,3,5697,119201,2866,8,4.5,93.3
45,11.29.2020,127814,3,5697,119238,2879,8,4.5,93.3
46,11.30.2020,127938,2,5697,119275,2966,8,4.5,93.2
47,12.01.2020,128022,2,5697,119314,3011,7,4.5,93.2
48,12.02.2020,128141,5,5697,119347,3097,10,4.4,93.1
49,12.03.2020,128245,2,5697,119398,3150,12,4.4,93.1
50,12.04.2020,128319,1,5697,119437,3185,12,4.4,93.1
51,12.05.2020,128393,2,5697,119475,3221,12,4.4,93.1
52,12.06.2020,128502,3,5697,119524,3281,12,4.4,93.0
53,12.07.2020,128602,4,5697,119574,3331,22,4.4,93.0
54,12.08.2020,128690,2,5697,119602,3391,24,4.4,92.9
55,12.09.2020,128776,1,5697,119638,3445,29,4.4,92.9
56,12.10.2020,128884,1,5697,119674,3513,28,4.4,92.9
57,12.11.2020,128970,2,5697,119704,3569,28,4.4,92.8
58,12.12.2020,129082,2,5697,119750,3635,27,4.4,92.8
59,12.13.2020,129165,1,5697,119781,3687,22,4.4,92.7
60,12.14.2020,129247,1,5697,119826,3724,17,4.4,92.7
